DateTime,trebes
2018-10-14 21:00:00,0.39
2018-10-14 21:05:00,0.39
2018-10-14 21:10:00,0.39
2018-10-14 21:15:00,0.39
2018-10-14 21:20:00,0.39
2018-10-14 21:25:00,0.39
2018-10-14 21:30:00,0.39
2018-10-14 21:35:00,0.39
2018-10-14 21:40:00,0.39
2018-10-14 21:45:00,0.38
2018-10-14 21:50:00,0.38
2018-10-14 21:55:00,0.38
2018-10-14 22:00:00,0.38
2018-10-14 22:05:00,0.38
2018-10-14 22:10:00,0.38
2018-10-14 22:15:00,0.38
2018-10-14 22:20:00,0.38
2018-10-14 22:25:00,0.38
2018-10-14 22:30:00,0.38
2018-10-14 22:35:00,0.38
2018-10-14 22:40:00,0.38
2018-10-14 22:45:00,0.38
2018-10-14 22:50:00,0.38
2018-10-14 22:55:00,0.38
2018-10-14 23:00:00,0.38
2018-10-14 23:05:00,0.38
2018-10-14 23:10:00,0.38
2018-10-14 23:15:00,0.38
2018-10-14 23:20:00,0.38
2018-10-14 23:25:00,0.38
2018-10-14 23:30:00,0.38
2018-10-14 23:35:00,0.38
2018-10-14 23:40:00,0.38
2018-10-14 23:45:00,0.38
2018-10-14 23:50:00,0.38
2018-10-14 23:55:00,0.39
2018-10-15 00:00:00,0.39
2018-10-15 00:05:00,0.4
2018-10-15 00:10:00,0.41
2018-10-15 00:15:00,0.41
2018-10-15 00:20:00,0.42
2018-10-15 00:25:00,0.43
2018-10-15 00:30:00,0.44
2018-10-15 00:35:00,0.46
2018-10-15 00:40:00,0.48
2018-10-15 00:45:00,0.51
2018-10-15 00:50:00,0.54
2018-10-15 00:55:00,0.59
2018-10-15 01:00:00,0.64
2018-10-15 01:05:00,0.74
2018-10-15 01:10:00,0.83
2018-10-15 01:15:00,0.91
2018-10-15 01:20:00,1
2018-10-15 01:25:00,1.1
2018-10-15 01:30:00,1.23
2018-10-15 01:35:00,1.32
2018-10-15 01:40:00,1.4
2018-10-15 01:45:00,1.52
2018-10-15 01:50:00,1.62
2018-10-15 01:55:00,1.69
2018-10-15 02:00:00,1.78
2018-10-15 02:05:00,1.86
2018-10-15 02:10:00,1.93
2018-10-15 02:15:00,2.02
2018-10-15 02:25:00,2.16
2018-10-15 02:30:00,2.24
2018-10-15 02:35:00,2.35
2018-10-15 02:40:00,2.43
2018-10-15 02:45:00,2.51
2018-10-15 02:50:00,2.61
2018-10-15 02:55:00,2.7
2018-10-15 03:00:00,2.79
2018-10-15 03:05:00,2.87
2018-10-15 03:10:00,2.95
2018-10-15 03:15:00,3
2018-10-15 03:20:00,3.05
2018-10-15 03:25:00,3.11
2018-10-15 03:30:00,3.17
2018-10-15 03:35:00,3.22
2018-10-15 03:40:00,3.29
2018-10-15 03:45:00,3.38
2018-10-15 03:50:00,3.45
2018-10-15 03:55:00,3.51
2018-10-15 04:00:00,3.59
2018-10-15 04:05:00,3.66
2018-10-15 04:10:00,3.78
2018-10-15 04:15:00,3.88
2018-10-15 04:20:00,4
2018-10-15 04:25:00,4.13
2018-10-15 04:30:00,4.24
2018-10-15 04:35:00,4.36
2018-10-15 04:40:00,4.48
2018-10-15 04:45:00,4.61
2018-10-15 04:50:00,4.77
2018-10-15 04:55:00,4.94
2018-10-15 05:00:00,5.13
2018-10-15 05:05:00,5.35
2018-10-15 05:10:00,5.57
2018-10-15 05:15:00,5.78
2018-10-15 05:20:00,5.96
2018-10-15 05:25:00,6.14
2018-10-15 05:30:00,6.3
2018-10-15 05:35:00,6.39
2018-10-15 05:40:00,6.56
2018-10-15 05:45:00,6.68
2018-10-15 05:50:00,6.78
2018-10-15 05:55:00,6.86
2018-10-15 06:00:00,6.95
2018-10-15 06:05:00,7.03
2018-10-15 06:10:00,7.1
2018-10-15 06:15:00,7.12
2018-10-15 06:20:00,7.18
2018-10-15 06:25:00,7.25
2018-10-15 06:30:00,7.3
2018-10-15 06:35:00,7.35
2018-10-15 06:40:00,7.39
2018-10-15 06:45:00,7.43
2018-10-15 06:50:00,7.48
2018-10-15 06:55:00,7.53
2018-10-15 07:00:00,7.54
2018-10-15 07:05:00,7.58
2018-10-15 07:10:00,7.62
2018-10-15 07:15:00,7.63
2018-10-15 07:20:00,7.64
2018-10-15 07:25:00,7.67
2018-10-15 07:30:00,7.68
2018-10-15 07:35:00,7.68
2018-10-15 07:40:00,7.67
2018-10-15 07:45:00,7.67
2018-10-15 07:50:00,7.66
2018-10-15 07:55:00,7.65
2018-10-15 08:00:00,7.66
2018-10-15 08:05:00,7.64
2018-10-15 08:10:00,7.62
2018-10-15 08:15:00,7.61
2018-10-15 08:20:00,7.59
2018-10-15 08:25:00,7.56
2018-10-15 08:30:00,7.55
2018-10-15 08:35:00,7.52
2018-10-15 08:40:00,7.5
2018-10-15 08:45:00,7.48
2018-10-15 08:50:00,7.46
2018-10-15 08:55:00,7.44
2018-10-15 09:00:00,7.41
2018-10-15 09:05:00,7.38
2018-10-15 09:10:00,7.35
2018-10-15 09:15:00,7.34
